_step,_runtime,_timestamp,epoch,train/loss,train/mf_loss,train/reg_loss,test/recall@1,test/recall@5,test/recall@10,test/recall@20,test/recall@50,test/precision@1,test/precision@5,test/precision@10,test/precision@20,test/precision@50,test/ndcg@1,test/ndcg@5,test/ndcg@10,test/ndcg@20,test/ndcg@50,test/map@1,test/map@5,test/map@10,test/map@20,test/map@50,test/mrr@1,test/mrr@5,test/mrr@10,test/mrr@20,test/mrr@50,test/hit_ratio@1,test/hit_ratio@5,test/hit_ratio@10,test/hit_ratio@20,test/hit_ratio@50
134,85.226377309,1778815909.8206863,129,0.12918181717395782,0.12893375754356384,0.00024805701104924083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,85.303573213,1778815909.897953,130,0.13006775081157684,0.12981750071048737,0.00025024564820341766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,85.379480223,1778815909.9739907,131,0.12598836421966553,0.12573584914207458,0.00025251443730667233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,85.456897463,1778815910.0514033,132,0.1284007579088211,0.12814611196517944,0.000254646351095289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,85.532309356,1778815910.1268158,133,0.12275442481040955,0.12249782681465149,0.0002565948525443673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,85.617454426,1778815910.2119353,134,0.12064763903617859,0.12038835883140564,0.00025927971000783145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,85.693329569,1778815910.2878022,135,0.11925557255744934,0.1189941018819809,0.0002614713739603758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,85.768809766,1778815910.3631349,136,0.12050687521696091,0.1202428936958313,0.0002639781159814447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,85.84698806,1778815910.4413679,137,0.11786820739507675,0.1176026314496994,0.0002655737625900656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,85.92414292,1778815910.518692,138,0.11349394917488098,0.1132262796163559,0.00026766632799990475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,86.002668785,1778815910.597224,139,0.11221887171268463,0.11194871366024017,0.00027015709201805294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,86.077654289,1778815910.672078,140,0.11267935484647751,0.11240726709365845,0.0002720867341849953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
